No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
53,後ろめたい,うしろめたい,自分の行いにやましい点があり、気がとがめること。,友人が落とした定期券を拾ったのに、拾得物として届けずポケットに入れたままにする場面。,単なる「申し訳ない」ではなく、「秘密にしている悪事に対する良心の呵責」。
54,やましい,やましい,良心に恥じる点がある。後ろめたい。,嘘をついて宿題を忘れた言い訳をし、先生がそれを信じて心配してくれた場面。,「後ろめたい」とほぼ同義。内心の不正・不正義に対する罪悪感。
55,気が咎める,きがとがめる,自分のしたことについて、良心が痛んで悪く思うこと。,自分だけが早く帰宅して遊び、残された係の仲間が重労働をしているのを知った場面。,「咎める（責める）」の主語は自分の良心。「自責の念」と同義。
56,もどかしい,もどかしい,思うようにならず、じれったくて歯がゆいこと。,足を怪我したため、目の前でピンチに陥っているチームをベンチから見守るしかない場面。,「悲しい」ではなく、「自らの無力さや障害のせいで事態を好転させられない苛立ち」。
57,歯がゆい,はがゆい,自分の力ではどうにもならず、もどかしくていらだたしいこと。,幼い弟が一生懸命に靴紐を結ぼうとして何度も失敗するのを、手を貸さず見守る場面。,「もどかしい」の同義語。手を出したいのに出せないもどかしさを表す。
58,じれったい,じれったい,物事が早く思い通りに進まなくて、苛立つ気持ち。,肝心な告白をなかなか切り出せない友人の遠回りな話し方に、横でやきもきする場面。,時間の遅さや相手の要領の悪さに対する「苛立ちを含んだ焦燥感」。
59,割り切れない,わりきれない,理屈では納得できても、感情の上では受け入れられずわだかまりが残ること。,規則違反だからと親友を失格にした審判の判定は正しいと知るが、納得できない場面。,論理（正論）と心情の対立を表す最重要語。記述問題の結びで極めて重宝される。
60,腑に落ちない,ふにおちない,いくら考えても納得がいかない。合点がいかないこと。,練習熱心だったエースが、大会直前に突然「部活を辞める」と言い出した場面。,「腑＝はらわた（心意）」。事実として受け入れられない論理的不審・疑問。
61,釈然としない,しゃくぜんとしない,疑いや不満が心の中に残り、すっきりと晴れ晴れしないこと。,相手が形式的に謝罪してきたものの、反省の態度が全く見られない場面。,表面上は解決した事態に対し、感情的な不信感がくすぶり続けている状態。
62,葛藤,かっとう,相反する二つの欲求や感情が心の中に存在し、どちらを選ぶべきか苦悩すること。,親友の不正を告発して正義を貫くべきか、黙認して友情を守るべきか悩む場面。,単なる「悩み」ではなく、「AとBの対立する選択肢の間で引き裂かれる苦しみ」。
63,逡巡,しゅんじゅん,決断がつかず、ぐずぐずと迷い躊躇すること。,危険な川に飛び込んで流された犬を助けるべきか、恐怖から足がすくんで迷う場面。,「ためらい」の改まった表現。難関校の本文読解や選択肢で頻出。
64,ためらう,ためらう,どうすべきかあれこれ迷って、決心がつかないこと。,職員室のドアの前まで来たが、真実を打ち明ける勇気が出ずノブから手を離す場面。,行動の直前における内面的な迷いや二の足を踏む心理。
65,躊躇する,ちゅうちょする,あれこれ迷って行動に踏み切れないこと。,ライバルが落とした道具を拾ってあげるべきか、一瞬立ち止まって迷う場面。,「ためらう」の漢語表現。記述問題の字数調整や選択肢照合で頻繁に交替する。
66,二の足を踏む,にのあしをふむ,先に進むのをためらい、しり込みすること。,冬の厳しい山に登る過酷な訓練メニューを聞かされ、参加を申し出るのをためらう場面。,「一歩目は出たが二歩目が止まる」意。恐怖や慎重さからの躊躇。
67,尻込みする,しりごみする,恐れたり圧倒されたりして、後退りすること。ためらうこと。,大勢の観客の前でスピーチをする役に指名され、不安から辞退しようとする場面。,積極性を失い、恐怖や気後れから身を引こうとする態度・心情。
68,たじろぐ,たじろぐ,相手の気迫や予期せぬ出来事に圧倒され、ひるむこと。,穏やかだった祖父が、主人公の軽率な嘘に対して雷のような怒声を放った場面。,相手の強大な力や予期せぬ衝撃に対し、精神的・身体的に圧倒されて怯むこと。
69,戸惑う,とまどう,どうしてよいか分からず、まごまごすること。迷うこと。,今まで冷淡だったクラスメイトから、急に親しげに話しかけられて真意が読めない場面。,予想外の事態に直面し、「状況の解釈や対応の仕方が定まらない」困惑。
70,途方に暮れる,とほうにくれる,手段や方法を見失い、どうしてよいか全く分からなくなること。,知らない街で財布を落とし、日も暮れて連絡手段も尽きてしまった場面。,単なる迷いではなく、「打つ手（方策）が完全に尽きて絶望的に立ち尽くす」心理。
71,板挟み,いたばさみ,対立する二者の間に立ち、どちらにも味方できず苦しむこと。,母と祖母の意見の対立の間に立たされ、どちらの味方をしても角が立つ場面。,人間関係における典型的な葛藤シチュエーション。
72,自問自答,じもんじとう,自分の心の中で問いを投げかけ、自分でそれに答えようと深く悩むこと。,「自分は本当に医者になりたいのか、それとも親を喜ばせたいだけなのか」と自省する場面。,内面的成長を描く独白シーンで頻出。他者ではなく自分自身と向き合う苦悩。
73,首をかしげる,くびをかしげる,不思議に思う。疑問や不審を抱くこと。,練習では一度もミスをしなかった友人が、本番で不可解なオウンゴールをした場面。,動作を通じて「完全には納得・理解できない疑念や違和感」を表現する慣用句。
74,煮え切らない,にえきらない,態度や意見がはっきりせず、ぐずぐずしている様子。,どちらのグループに所属するか尋ねられているのに、曖昧な返答を繰り返す場面。,他者から見た「優柔不断さ」に対するもどかしさの文脈で頻出。
75,口をつぐむ,くちをつぐむ,言いたいことや知っていることがあるのに、黙って話さないこと。,犯人を知っているが、告げることで生じる友情の崩壊を恐れて沈黙を守る場面。,単に静かなのではなく、「強い意志や葛藤のもとで言葉を飲み込む」動作表現。
76,言い淀む,いいよどむ,言葉がすらすらと出ず、口ごもること。,相手を傷つけるかもしれない事実を伝える際、最初の一言が喉につかえる場面。,言葉に詰まる身体反応を通じて、相手への配慮や自己の迷いを象徴する。
77,心が揺れる,こころがゆれる,決意がぐらつき、迷いが生じること。,志望校を変えないと決めていたが、恩師から別の道を提案されて気持ちが傾く場面。,安定していた心情が、新たな出来事によって不安定になり葛藤する様。
78,踏ん切りがつかない,ふんぎりがつかない,あれこれ迷って、最終的な決断や思い切りが下せないこと。,愛着のある古いバイオリンを手放して新しい楽器に移る決意が、どうしても固まらない場面。,未練や不安が邪魔をして、最後の決断に踏み切れないもどかしい心理。
