No,心情語・慣用表現,読み,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
79,憤慨,ふんがい,ひどく腹を立てること。激しい怒り。,身勝手な理由で約束を破った上、悪びれもせず他人のせいにする友人の態度を見る場面。,幼い「怒り」ではなく、「不正や無責任さに対する道義的な強い怒り」。
80,憤る,いきどおる,理不尽なことや不正に対して、激しく怒り恨むこと。,努力した者が報われず、不正をした者が評価される理不尽な選考結果を知った場面。,個人的な我が儘ではなく、「正義感に基づく社会や他者への深い憤り」。
81,業腹,ごうはら,非常に腹が立つこと。たまらなく悔しく不快なこと。,散々侮辱された挙げ句、力関係のせいで一言も反論できず見下された場面。,怒りと「無力感・悔しさ」が激しく混ざり合い、腹の底で煮え滾る感情。
82,やり場のない,やりばのない,感情（怒りや悲しみ）を向ける相手や出口がなく、どうしようもないこと。,不慮の事故で大会が中止になり、誰を責めることもできず拳を握りしめる場面。,特定の対象にぶつけられないため、内側に鬱積していく空虚な怒り。
83,心外,しんがい,自分の思いとは全く違っていて、非常に不満で納得がいかないこと。,仲間を助けようとした善意の行動を、先生から「不正の手助け」と決めつけられた場面。,単なるショックではなく、「不当な誤解や低評価に対する強い抗議の念」。
84,腹に据えかねる,はらにすえかねる,怒りを心の中に抑えつけることができなくなること。,何度も繰り返される陰湿な嫌がらせに対し、ついに堪忍袋の緒が切れる場面。,「我慢の限界を超えて爆発寸前になる」怒りの臨界点を示す慣用句。
85,腹立たしい,はらだたしい,怒りを感じて不愉快であること。いらいらすること。,静かに読書をしたいのに、隣で意図的に大きな物音を立て続けられる場面。,激怒というよりは、持続的・神経に障るような不快感を伴う怒り。
86,苦々しい,にがにがしい,非常に不愉快で、見聞きするのが嫌な気分であること。,勝ち誇って敗者を侮辱しているチームメイトの浅ましい姿を、横で見せつけられる場面。,怒りというより、「胸が悪くなるような不快感・嫌悪感」。
87,忌々しい,いまいましい,非常に腹立たしく、癪に障る様子。,あと一歩のところでいつも邪魔に入り、計画を台無しにする宿敵の顔を思い浮かべる場面。,相手や事態を呪わしく思い、憎々しく感じる強い反発心。
88,虫の居所が悪い,むしのいどころがわるい,機嫌が悪く、ちょっとしたことにも怒りやすい状態であること。,朝から嫌なことが重なり、家族の何気ない挨拶に対してもトゲのある言葉を返す場面。,一時的な気分の偏りによって、普段なら流せることにも過敏に苛立つ心理。
89,癪に障る,しゃくにさわる,物事が気に入らなくて腹が立つこと。癇に障ること。,実力もないのに要領だけで世渡りし、自分をからかってくる同級生の態度を見る場面。,自尊心をチクチクと刺激され、不快感と怒りが湧き上がってくる状態。
90,癇に障る,かんにさわる,ちょっとした言動が気に障って、いらだたしく腹が立つこと。,集中して勉強している最中に、隣の席でペンをカチカチ鳴らし続ける音を聞く場面。,神経が過敏になり、特定の刺激に対して我慢がならないいらだち。
91,業を煮やす,ごうをにやす,思うように事が運ばず、いらいらして怒ること。,何度説明しても要領を得ない相手の態度に、ついに冷静さを失って語気を荒らげる場面。,相手の鈍さや事態の遅滞に対して「我慢しきれず怒りを表に出す」こと。
92,唇をかむ,くちびるをかむ,悔しさや怒りを必死に堪えること。,不当な判定で敗北が決まった瞬間、審判の前で抗議の声を押し殺す場面。,感情を爆発させるのではなく、「激しい情動を意志の力で封じ込める」身体表現。
93,歯ぎしりする,はぎしりする,悔しさや激しい怒りのあまり、奥歯を強く噛み合わせること。,ライバルに卑怯な手を使われて先を越され、自室でベッドのシーツを握りしめる場面。,無念さや強烈な悔しさを伴う怒りの身体的反応。
94,反発,はんぱつ,他人の意見や力による支配に対して、反抗し従わないこと。,親から「勉強だけしていればいい」と一方的に決めつけられ、部屋に閉じこもる場面。,上からの押し付けに対する、自我の防衛からくる抵抗の心理。
95,憤激,ふんげき,激しく腹を立てること。怒りで興奮すること。,長年守ってきた秘密の隠れ家を、心無い落書きで破壊されたのを発見した場面。,「憤慨」よりもさらに感情の爆発度合いが激しい状態。
96,眉をひそめる,まゆをひそめる,不快に思ったり、心配したりして顔をしかめること。,公共の場で大声を上げて暴れる若者たちのマナーの悪さを、静かに見つめる場面。,怒りを露わに怒鳴るのではなく、「品性を疑うような行いに対する静かな拒絶・不快感」。
97,憮然,ぶぜん,失望・落胆してどうすることもできない様子。また、腹を立てて不満そうな様子。,注意されたことに対して納得がいかず、不服そうに黙り込んでそっぽを向く場面。,【最重要誤用注意語】本来は「失望して呆然とする様」だが、入試では「不満げにムッとする様」の文脈でも頻出。
98,猜疑心,さいぎしん,他人を疑い、何か裏があるのではないかと警戒する心。,以前裏切られた経験から、親切にしてくれるクラスメイトの言葉を素直に信じられない場面。,不満や恐怖から発展し、「他者を悪意あるものと決めつけて警戒する」暗い感情。
99,口を尖らせる,くちをとがらせる,不満や反抗の気持ちを表情に表すこと。すねること。,母親からの正論の注意に対し、言い返せないものの納得できず横を向く場面。,子ども特有の「すね・納得のいかなさ」を視覚的に描写する表現。
100,噛みつく,かみつく,激しい勢いで反論したり、食ってかかったりすること。,心配して声をかけてくれただけの友人に対し、「放っておいてくれ」と怒鳴る場面。,苛立ちや追い詰められた心理から、他者に攻撃的な態度をとること。
101,鼻につく,はなにつく,言動や態度が鬱陶しく、嫌味で不快に感じられること。,自分がどれほど裕福であるかを、遠回しに自慢してくる級友の話を聞かされる場面。,強い怒りというよりは、「生理的な不快感・鼻持ちならない嫌悪感」。
102,怒髪天を衝く,どはつてんをつく,激しい怒りのために、髪の毛が逆立ち天を突き刺すほどであること。,最も信頼していたパートナーが、敵と通じて全員を裏切っていたと知った瞬間。,怒りの度合いが極大であることを示す故事成語的表現。
103,面白くない,おもしろくない,気に入らなくて不愉快である。満足できず不満であること。,自分より下手だった後輩が、監督から先にレギュラーに指名されて面白くない場面。,退屈（not interesting）ではなく、「プライドを傷つけられ不機嫌になる」心理。
104,毒づく,どくづく,悪口や恨み言を並べ立てて、怒りや不満をぶつけること。,誰も助けてくれない雨の中、びしょ濡れで自転車を漕ぎながら一人悪態をつく場面。,鬱屈した不満を吐き出す言語行動。「悪態をつく」と同義。
